num_nodi,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,training_time_s,n_params,error
1,4,x1F,0.6,0.5555555555555556,0.5800000000000001,0.65,0.6906336545944214,0.6863179802894592,29.96137745998567,20,
1,8,x2F,0.55,0.5263157894736842,0.49,0.65,0.6800121466318766,0.6777161757151285,15.527743274986278,68,
1,12,x3F,0.45,0.5217391304347826,0.47,0.65,0.6925182938575745,0.6912373701731364,17.113847419968806,148,
1,16,x4F,0.5,0.4444444444444444,0.44999999999999996,0.6,0.652730405330658,0.6514333486557007,19.224572435952723,260,
1,10,10,0.6,0.5555555555555556,0.53,0.65,0.6874732772509257,0.6829906304677328,16.214997053029947,104,
1,20,20,0.6,0.6,0.56,0.6,0.6890788276990255,0.6858144203821818,28.657714541011956,404,
1,30,30,0.65,0.46153846153846156,0.54,0.65,0.6907610297203064,0.6774567365646362,30.083467057032976,904,
1,40,40,0.65,0.5882352941176471,0.5800000000000001,0.7,0.6743263999621073,0.6601154009501139,43.25614712800598,1604,
1,50,50,0.6,0.5555555555555556,0.6699999999999999,0.7,0.65946892897288,0.6511683066685995,54.559020112035796,2504,
2,4,x1F,0.55,0.5263157894736842,0.5800000000000001,0.65,0.6896132628122965,0.6842736800511678,31.140993288019672,39,
2,8,x2F,0.6,0.5,0.64,0.65,0.6492500901222229,0.6420178413391113,35.338468403031584,135,
2,12,x3F,0.55,0.4,0.7,0.7,0.5780964096387228,0.5762030084927877,34.233660931000486,295,
2,16,x4F,0.6,0.5,0.73,0.75,0.5494166612625122,0.5468569795290629,44.27360973000759,519,
2,10,10,0.6,0.5555555555555556,0.56,0.65,0.6037754813830057,0.5902980367342631,32.98037208797177,207,
2,20,20,0.55,0.4,0.8,0.7,0.49039944012959796,0.48432591557502747,42.992009825014975,807,
2,30,30,0.5,0.5454545454545454,0.53,0.65,0.6807028452555338,0.6755687793095907,55.436496409995016,1807,
2,40,40,0.85,0.8571428571428571,0.87,0.85,0.2927626371383667,0.2865788737932841,95.45917512499727,3207,
2,50,50,0.9,0.8888888888888888,0.96,0.9,0.1414318879445394,0.13579094658295313,130.26236406801036,5007,
3,4,x1F,0.6,0.5555555555555556,0.5700000000000001,0.65,0.6887471278508505,0.6844002405802408,41.83325926604448,58,
3,8,x2F,0.65,0.46153846153846156,0.53,0.7,0.6283631324768066,0.6198862592379252,46.94993981800508,202,
3,12,x3F,0.6,0.5,0.81,0.85,0.5498579343159994,0.545695980389913,99.48308295197785,442,
3,16,x4F,0.65,0.5882352941176471,0.8,0.8,0.5100676616032919,0.48275578022003174,123.69423364900285,778,
3,10,10,0.5,0.2857142857142857,0.7899999999999999,0.7,0.6128736734390259,0.6088854670524597,115.66371080302633,310,
3,20,20,0.65,0.5882352941176471,0.66,0.7,0.4232526222864787,0.4232526222864787,138.48676288797287,1210,
3,30,30,0.7,0.6666666666666666,0.78,0.7,0.36183080077171326,0.337937851746877,98.36914475198137,2710,
3,40,40,0.8,0.7777777777777778,0.8700000000000001,0.85,0.2325417846441269,0.21910455326239267,125.89450004004175,4810,
3,50,50,1.0,1.0,1.0,1.0,0.06698264429966609,0.060581048329671226,152.9945349849877,7510,
5,4,x1F,0.6,0.5555555555555556,0.61,0.65,0.6869106491406759,0.6834326386451721,91.85187009401852,96,
5,8,x2F,0.6,0.42857142857142855,0.73,0.7,0.637133797009786,0.637133797009786,95.28887229500106,336,
5,12,x3F,0.6,0.5,0.8200000000000001,0.7,0.5174280206362406,0.5174280206362406,84.49875279597472,736,
5,16,x4F,0.6,0.5,0.72,0.75,0.44829580187797546,0.44829580187797546,94.42037186300149,1296,
5,10,10,0.6,0.5,0.6599999999999999,0.65,0.6150642037391663,0.6150642037391663,80.79542975802906,516,
5,20,20,0.65,0.5882352941176471,0.73,0.8,0.4487509032090505,0.42858044306437176,105.7600578260026,2016,
5,30,30,0.7,0.625,0.8500000000000001,0.8,0.2618056386709213,0.2618056386709213,138.15642665000632,4516,
5,40,40,0.85,0.8421052631578947,0.9,0.9,0.15827727069457373,0.1560456876953443,180.20481288002338,8016,
5,50,50,1.0,1.0,1.0,1.0,0.10524152219295502,0.08494471510251363,232.96112120401813,12516,
8,4,x1F,0.55,0.47058823529411764,0.61,0.7,0.6892680724461874,0.6846614480018616,109.60525445500389,153,
8,8,x2F,0.55,0.4,0.82,0.75,0.5929832855860392,0.5929832855860392,120.84896924300119,537,
8,12,x3F,0.55,0.4,0.6799999999999999,0.75,0.5474700331687927,0.5301961501439413,134.48391971801175,1177,
8,16,x4F,0.65,0.5333333333333333,0.78,0.7,0.4544745981693268,0.4503532846768697,150.208816458995,2073,
8,10,10,0.7,0.625,0.67,0.7,0.6595631043116251,0.651241679986318,128.1134346810286,825,
8,20,20,0.6,0.5,0.83,0.7,0.39884185791015625,0.39884185791015625,169.80634592898423,3225,
8,30,30,0.75,0.7368421052631579,0.79,0.8,0.30492036541302997,0.2926261822382609,221.19122164795408,7225,
8,40,40,0.9,0.9,0.92,0.9,0.13187931974728903,0.1228485902150472,288.99333100701915,12825,
8,50,50,0.95,0.9473684210526315,0.99,0.95,0.03173524079223474,0.03173524079223474,364.34851932601305,20025,
10,4,x1F,0.6,0.6,0.63,0.65,0.6826047301292419,0.6816823482513428,136.56570020195795,191,
10,8,x2F,0.65,0.5333333333333333,0.7300000000000001,0.75,0.6106842756271362,0.5960678259531657,151.0820858310326,671,
10,12,x3F,0.6,0.5,0.75,0.8,0.48860875765482586,0.48860875765482586,167.99268108099932,1471,
10,16,x4F,0.65,0.5882352941176471,0.74,0.7,0.47948941588401794,0.43612120548884076,187.0894982839818,2591,
10,10,10,0.65,0.5882352941176471,0.64,0.7,0.6126246849695841,0.6005833745002747,159.41072399902623,1031,
10,20,20,0.7,0.6666666666666666,0.8099999999999999,0.8,0.40732720494270325,0.3759280542532603,209.02374473499367,4031,
10,30,30,0.65,0.5333333333333333,0.8000000000000002,0.85,0.27145735919475555,0.24802550673484802,276.8740357699571,9031,
10,40,40,0.8,0.7777777777777778,0.91,0.85,0.12088278432687123,0.11837710688511531,360.4804155320162,16031,
10,50,50,1.0,1.0,1.0,1.0,0.04788191057741642,0.03890146563450495,457.9596614589682,25031,
15,4,x1F,0.6,0.5,0.61,0.7,0.6868980328241984,0.6824085513750712,204.9500553199905,286,
15,8,x2F,0.6,0.42857142857142855,0.78,0.75,0.6029658714930216,0.6029658714930216,225.69095410598675,1006,
15,12,x3F,0.65,0.5333333333333333,0.79,0.75,0.5486507217089335,0.5260652999083201,250.79692936403444,2206,
15,16,x4F,0.55,0.4,0.8300000000000001,0.75,0.41965922713279724,0.41583846012751263,286.0247135619866,3886,
15,10,10,0.55,0.4,0.5900000000000001,0.6,0.5995902617772421,0.575747569402059,280.4743435460259,1546,
15,20,20,0.6,0.5,0.79,0.75,0.41221050421396893,0.4010865390300751,311.8043903670041,6046,
15,30,30,0.75,0.7058823529411765,0.8500000000000001,0.8,0.2590898374716441,0.25364112854003906,434.72182057303144,13546,
15,40,40,0.9,0.9,0.9500000000000001,0.9,0.060865034659703575,0.060865034659703575,537.7867511769873,24046,
15,50,50,1.0,1.0,1.0,1.0,0.02633422054350376,0.025149434804916382,728.7980746810208,37546,
